name-of-company,name-of-job,location,salary,date,application-link
Turion Space,Software Intern,Irvine CA,$70K - $85K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018a91e0af67abeb11187a602c8b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_663843e8&cb=1694664545281&jobListingId=1008560449374&jrtk=5-yul1-3-1ha8u1ku8k7gi801-1ha8u1bsf2hpn000
Skyworks,Software Engineering Summer Intern - 2024,Irvine CA,$22.50 - $42.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018a91e0af67abeb11187a602c8b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0a4be1d4&cb=1694664547673&jobListingId=1008799312320&jrtk=5-yul1-3-1ha8u1n8di3pq801-1ha8u1bsf2hpn000
ESRI Inc.,Software Development Internships,Redlands CA,$10K - $12K (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018a91e0af67abeb11187a602c8b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_31516553&cb=1694664548214&jobListingId=1008847614961&jrtk=5-yul1-3-1ha8u1nphk7hk801-1ha8u1bsf2hpn000
Relaymile,Frontend Software Engineer Internship,Los Angeles CA,$98K - $158K (Glassdoor est.),30d+,
Advanced Sterilization Products,Software Engineering Intern,Irvine CA,$56K - $105K (Employer est.),19d,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=0000018a91e0af67abeb11187a602c8b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_03d62773&cb=1694664550608&jobListingId=1008834111497&jrtk=5-yul1-3-1ha8u1q4ck7h4801-1ha8u1bsf2hpn000
The Trade Desk,2024 Software Engineering Intern - North America,Irvine CA,$124K - $187K (Glassdoor est.),22d,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000018a91e0af67abeb11187a602c8b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7000df80&cb=1694664552316&jobListingId=1008827805428&jrtk=5-yul1-3-1ha8u1rpbk5oo801-1ha8u1bsf2hpn000
ServiceNow,Digital Technology (DT) - Software Engineer Internships - Summer 2024,San Diego CA,$47.82 - $50.02 Per Hour (Employer est.),13d,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000018a91e0af67abeb11187a602c8b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8145b21f&cb=1694664555722&jobListingId=1008844743555&jrtk=5-yul1-3-1ha8u1v39k6q1801-1ha8u1bsf2hpn000
Futronics (NA) Corporation,Software Engineering Intern,Pasadena CA,$71K - $107K (Glassdoor est.),30d+,
ESRI Inc.,ArcGIS Software Products Internships,Redlands CA,$30.00 - $35.50 Per Hour (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000018a91e0af67abeb11187a602c8b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_58f96640&cb=1694664558620&jobListingId=1008847614962&jrtk=5-yul1-3-1ha8u21ukir1d801-1ha8u1bsf2hpn000
Melissa Global Intelligence,On-Site Software Engineer Intern,Rancho Santa Margarita CA,$40K - $80K (Employer est.),8d,
Quartus Engineering,Software Engineer Co-op or Intern: Spring/Summer 2024 (Full-Time) - San Diego - 233QE,San Diego CA,$24.00 - $28.00 Per Hour (Employer est.),1d,
Honeybee Robotics,Summer 2024 Software Engineering Internship,Altadena CA,$30.00 - $32.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=0000018a91e0af67abeb11187a602c8b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_595448e5&cb=1694664563365&jobListingId=1008868601552&jrtk=5-yul1-3-1ha8u26j3202j001-1ha8u1bsf2hpn000
Numecent Inc.,Software Development Internship,Irvine CA,$18.00 - $20.00 Per Hour (Employer est.),30d+,
Epsilon Systems Inc,Software Engineering Intern - (TAF),San Diego CA,$20.00 - $25.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=0000018a91e11df1acf375ed9ee14de7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a81591a5&cb=1694664573757&jobListingId=1008867947097&jrtk=5-yul1-3-1ha8u2gm7k6ql801-1ha8u27hdjqut800
Forward Slope Inc.,Software Engineering Intern,San Diego CA,$20.00 - $25.00 Per Hour (Employer est.),1d,
FYI,Software QA Testing Internship,Los Angeles CA,$16.78 Per Hour (Employer est.),6d,
ESRI Inc.,Information Technology - Application Developer Internships,Redlands CA,$30.00 - $34.00 Per Hour (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=1136043&s=58&guid=0000018a91e11df1acf375ed9ee14de7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ad3ef4de&cb=1694664577730&jobListingId=1008853690829&jrtk=5-yul1-3-1ha8u2kju2gth001-1ha8u27hdjqut800
Lunar Digital Assets,Front End UI/UX Development Intern,Los Angeles CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1136043&s=58&guid=0000018a91e11df1acf375ed9ee14de7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6e35c8b7&cb=1694664578898&jobListingId=1008116975762&jrtk=5-yul1-3-1ha8u2loe2b58001-1ha8u27hdjqut800
PIMCO,2024 Summer Intern - Technology Analyst Software Engineering US,Newport Beach CA,$14K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1136043&s=58&guid=0000018a91e11df1acf375ed9ee14de7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e88ba7ed&cb=1694664581983&jobListingId=1008646590213&jrtk=5-yul1-3-1ha8u2ooqikda801-1ha8u27hdjqut800
Rocket Lab USA,Summer 2024 Internship/ Co-Op - Software,Long Beach CA,$30.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=1136043&s=58&guid=0000018a91e11df1acf375ed9ee14de7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e1a21ac0&cb=1694664582894&jobListingId=1008759473054&jrtk=5-yul1-3-1ha8u2pl6k6rb801-1ha8u27hdjqut800
AeroVironment,Engineering Intern Software,Simi Valley CA,$21.00 - $31.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=0000018a91e11df1acf375ed9ee14de7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_53018fec&cb=1694664586180&jobListingId=1008290530573&jrtk=5-yul1-3-1ha8u2ss0k5ro801-1ha8u27hdjqut800
Comentum Corp,Intern Developer: Web Application / Mobile App,San Diego CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1136043&s=58&guid=0000018a91e11df1acf375ed9ee14de7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bd582650&cb=1694664586781&jobListingId=1005868193108&jrtk=5-yul1-3-1ha8u2tek2grc001-1ha8u27hdjqut800
SiO Digital,Web Design and Development Intern,San Diego CA,$55K - $91K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=1136043&s=58&guid=0000018a91e11df1acf375ed9ee14de7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_477f1e15&cb=1694664587896&jobListingId=1006337644685&jrtk=5-yul1-3-1ha8u2uhi2b5d001-1ha8u27hdjqut800
Noveda Technologies Inc,Software Engineering & Application Development Internship Program for Students,San Diego CA,$75K - $110K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=1136043&s=58&guid=0000018a91e17eac9b0ee81e01a2b371&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_95f54254&cb=1694664593450&jobListingId=1005663870962&jrtk=5-yul1-3-1ha8u33v9k7d1801-1ha8u2vmkj4rj800
Tesla,Internship Frontend Software Engineer UI Design (Winter/Spring 2024),Hawthorne CA,$124K - $192K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=316&ao=1136043&s=58&guid=0000018a91e17eac9b0ee81e01a2b371&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_141e31d9&cb=1694664600955&jobListingId=1008789108472&jrtk=5-yul1-3-1ha8u3b9k202j001-1ha8u2vmkj4rj800
Relativity Space Intern Job Board,Software Engineer Intern-Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=413&ao=1136043&s=58&guid=0000018a91e1d0c68cd837381960633d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_11e6941c&cb=1694664620494&jobListingId=1008832289017&jrtk=5-yul1-3-1ha8u3ucr2ccd001-1ha8u3k7t2gu9000
Broadata Communications,Part Time Intern in Embedded Software Engineering,Torrance CA,$20.00 - $24.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=416&ao=1136043&s=58&guid=0000018a91e1d0c68cd837381960633d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bebf916a&cb=1694664622231&jobListingId=1008654832170&jrtk=5-yul1-3-1ha8u402ljquv801-1ha8u3k7t2gu9000
Infineon Technologies,Intern - Firmware Development Power Electronics Engineering,El Segundo CA,$32.50 Per Hour (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=425&ao=1136043&s=58&guid=0000018a91e1d0c68cd837381960633d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c93469b5&cb=1694664627966&jobListingId=1008853860643&jrtk=5-yul1-3-1ha8u45k8k5qr801-1ha8u3k7t2gu9000
Tesla,Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,$100K - $156K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=429&ao=1136043&s=58&guid=0000018a91e1d0c68cd837381960633d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a57a524c&cb=1694664630389&jobListingId=1008806286946&jrtk=5-yul1-3-1ha8u4806k7eo801-1ha8u3k7t2gu9000
Relativity Space Intern Job Board,Test Engineer Intern - Electrical and Software [Long Beach] - Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=502&ao=1136043&s=58&guid=0000018a91e2243480346ea3ccad8eee&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ff56ac02&cb=1694664634160&jobListingId=1008832698767&jrtk=5-yul1-3-1ha8u4bnsk7gh801-1ha8u4931k2m2804
DoorDash,Software Engineer Intern (Summer 2024),Los Angeles CA,,26d,https://www.glassdoor.com/partner/jobListing.htm?pos=512&ao=1136043&s=58&guid=0000018a91e2243480346ea3ccad8eee&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d1582f2f&cb=1694664640018&jobListingId=1008820206253&jrtk=5-yul1-3-1ha8u4hehje2a801-1ha8u4931k2m2804
RipeMetrics,Software Marketing Internship,San Diego CA,$62K - $107K (Glassdoor est.),30d+,
Skyworks,Software Engineering Summer Intern - 2024,Irvine CA,$22.50 - $42.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018a92152d3ca3f867377bd030ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5f6b45c2&cb=1694667991752&jobListingId=1008799312320&jrtk=5-yul1-3-1ha91aqju2gtl001-1ha91abbjikd4800
Relaymile,Frontend Software Engineer Internship,Los Angeles CA,$98K - $158K (Glassdoor est.),30d+,
ESRI Inc.,Software Development Internships,Redlands CA,$10K - $12K (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=0000018a92152d3ca3f867377bd030ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_db8fce99&cb=1694667998327&jobListingId=1008847614961&jrtk=5-yul1-3-1ha91b11rk5or801-1ha91abbjikd4800
Relativity Space Intern Job Board,Software Engineer Intern-Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018a92152d3ca3f867377bd030ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ead96e36&cb=1694667999965&jobListingId=1008832289017&jrtk=5-yul1-3-1ha91b2kvk7gi801-1ha91abbjikd4800
ServiceNow,Digital Technology (DT) - Software Engineer Internships - Summer 2024,San Diego CA,$47.82 - $50.02 Per Hour (Employer est.),13d,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000018a92152d3ca3f867377bd030ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7e323cf4&cb=1694668006234&jobListingId=1008844743555&jrtk=5-yul1-3-1ha91b8ook6p4801-1ha91abbjikd4800
Honeybee Robotics,Summer 2024 Software Engineering Internship,Altadena CA,$30.00 - $32.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=0000018a92152d3ca3f867377bd030ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ee2490e9&cb=1694668007111&jobListingId=1008868601552&jrtk=5-yul1-3-1ha91b9j8j4q5801-1ha91abbjikd4800
Lunar Digital Assets,Front End UI/UX Development Intern,Los Angeles CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=0000018a92152d3ca3f867377bd030ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4a8227eb&cb=1694668010915&jobListingId=1008116975762&jrtk=5-yul1-3-1ha91bdb5k7dg801-1ha91abbjikd4800
Tencent,Game Research & Development Intern Engine Research,Los Angeles CA,$24.80 - $57.69 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=1136043&s=58&guid=0000018a9215bffa9497b297c4fe1d4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8e7da2dd&cb=1694668024240&jobListingId=1008596704133&jrtk=5-yul1-3-1ha91bqb22gtq001-1ha91bg1ijqut800
Relativity Space Intern Job Board,Test Engineer Intern - Electrical and Software [Long Beach] - Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=1136043&s=58&guid=0000018a9215bffa9497b297c4fe1d4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9c62b7e2&cb=1694668025812&jobListingId=1008832698767&jrtk=5-yul1-3-1ha91brt3k7e7801-1ha91bg1ijqut800
Tesla,Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,$100K - $156K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=1136043&s=58&guid=0000018a9215bffa9497b297c4fe1d4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7cd6b03a&cb=1694668026524&jobListingId=1008806286946&jrtk=5-yul1-3-1ha91bsipj3tm801-1ha91bg1ijqut800
Broadata Communications,Part Time Intern in Embedded Software Engineering,Torrance CA,$20.00 - $24.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=0000018a9215bffa9497b297c4fe1d4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f2bf3782&cb=1694668035957&jobListingId=1008654832170&jrtk=5-yul1-3-1ha91c5pnjqvg801-1ha91bg1ijqut800
DoorDash,Software Engineer Intern (Summer 2024),Los Angeles CA,,26d,https://www.glassdoor.com/partner/jobListing.htm?pos=326&ao=1136043&s=58&guid=0000018a92162c4388fd5ee802b41b10&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5ffddecd&cb=1694668063739&jobListingId=1008820206253&jrtk=5-yul1-3-1ha91d0tsjgal801-1ha91cb3ojqto800
